epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.086,1.48394,1.68682,1.31378,0.82377,0.73536,0.81502,0.45406,1.55206,0.96409,1.33241,0.000414244,0.000414244,0.000414244
2,64.4766,1.3597,0.88242,1.24587,0.85359,0.85806,0.88363,0.51101,1.57633,0.79379,1.32285,0.000814459,0.000814459,0.000814459
3,95.9985,1.35789,0.80989,1.24222,0.83193,0.85686,0.87308,0.51733,1.45253,0.72607,1.28534,0.00119817,0.00119817,0.00119817
4,127.366,1.32529,0.78,1.2265,0.77659,0.89237,0.87069,0.51289,1.38494,0.79288,1.24485,0.00117575,0.00117575,0.00117575
5,158.624,1.33409,0.74685,1.23377,0.85113,0.89185,0.89731,0.54,1.34824,0.69543,1.24106,0.001151,0.001151,0.001151
6,190.81,1.28148,0.71708,1.2245,0.88772,0.88892,0.93128,0.58183,1.28564,0.62941,1.21578,0.00112625,0.00112625,0.00112625
7,221.723,1.25598,0.67438,1.20374,0.90447,0.92085,0.9404,0.60565,1.2202,0.60407,1.18913,0.0011015,0.0011015,0.0011015
8,253.259,1.26923,0.68303,1.22823,0.91311,0.90864,0.93277,0.5902,1.25383,0.59323,1.21206,0.00107675,0.00107675,0.00107675
9,286.534,1.23409,0.64536,1.19539,0.90861,0.93042,0.94889,0.59321,1.3094,0.56106,1.2223,0.001052,0.001052,0.001052
10,318.011,1.19833,0.61124,1.17775,0.88844,0.88822,0.93504,0.58787,1.37375,0.5937,1.23121,0.00102725,0.00102725,0.00102725
11,350.036,1.20813,0.61757,1.16407,0.91055,0.90574,0.942,0.586,1.39758,0.59457,1.2308,0.0010025,0.0010025,0.0010025
12,382.132,1.18059,0.59431,1.15818,0.94703,0.9086,0.95042,0.64107,1.15631,0.54113,1.14771,0.00097775,0.00097775,0.00097775
13,413.071,1.15236,0.58325,1.13656,0.89227,0.90139,0.9564,0.65043,1.13532,0.52656,1.15446,0.000953,0.000953,0.000953
14,444.54,1.16222,0.59328,1.15783,0.9443,0.92955,0.95896,0.62465,1.28252,0.52889,1.19833,0.00092825,0.00092825,0.00092825
15,475.905,1.12369,0.55699,1.12549,0.94885,0.94763,0.96566,0.62563,1.23903,0.51563,1.16217,0.0009035,0.0009035,0.0009035
16,505.861,1.10568,0.55779,1.11708,0.95528,0.94557,0.96936,0.60993,1.25314,0.51842,1.20059,0.00087875,0.00087875,0.00087875
17,535.873,1.08257,0.54517,1.11677,0.94715,0.94846,0.97064,0.65677,1.13069,0.49273,1.13178,0.000854,0.000854,0.000854
18,565.873,1.07193,0.52835,1.10131,0.9579,0.93624,0.96853,0.62701,1.26632,0.51627,1.19343,0.00082925,0.00082925,0.00082925
19,595.808,1.04936,0.52497,1.08801,0.94571,0.91627,0.95783,0.61698,1.20258,0.49691,1.14609,0.0008045,0.0008045,0.0008045
20,625.617,1.02046,0.49787,1.07514,0.95995,0.94424,0.97438,0.67914,1.05113,0.45941,1.09424,0.00077975,0.00077975,0.00077975
21,655.553,1.01086,0.49474,1.07242,0.94994,0.95801,0.97547,0.67077,1.07924,0.45763,1.11041,0.000755,0.000755,0.000755
22,685.409,0.98154,0.48364,1.05885,0.96652,0.95116,0.97907,0.67713,1.10783,0.45543,1.11457,0.00073025,0.00073025,0.00073025
23,715.25,0.97164,0.47516,1.05414,0.95984,0.96863,0.97879,0.68336,1.0758,0.44561,1.09821,0.0007055,0.0007055,0.0007055
24,745.132,0.96858,0.47018,1.04665,0.96231,0.95228,0.97597,0.70526,0.9908,0.42856,1.06341,0.00068075,0.00068075,0.00068075
